sampid,gender,birthy,w01ecoact,w01student,w01edu,w01region,y01e606,y01a601,y01a616_1,y01e401,y01e501,w02ecoact,w02student,w03ecoact,w03student,neet_w1,outcome,got_job_flag,gender_label,age,edu_label,region_label,health_label,exp_type,career_guidance,career_plan_score
100031,1,1996,3,2,4,1,3,2.0,,2,5,1.0,2.0,1.0,2.0,True,취업 성공,1,남성,25,대졸,서울,보통,경험 없음,없음,5
100035,1,2001,3,2,2,1,3,2.0,,2,3,3.0,2.0,3.0,2.0,True,미취업,0,남성,20,고졸,서울,보통,경험 없음,없음,3
100036,2,2002,3,2,2,1,4,2.0,,2,5,3.0,2.0,3.0,1.0,True,미취업,0,여성,19,고졸,서울,좋은 편,경험 없음,없음,5
100038,2,1995,3,2,4,1,4,2.0,,2,5,3.0,2.0,3.0,2.0,True,미취업,0,여성,26,대졸,서울,좋은 편,경험 없음,없음,5
100041,1,2002,3,2,2,1,4,2.0,,2,5,3.0,2.0,3.0,2.0,True,미취업,0,남성,19,고졸,서울,좋은 편,경험 없음,없음,5
100061,1,1993,2,2,4,1,4,1.0,3.0,1,5,3.0,2.0,3.0,2.0,True,미취업,0,남성,28,대졸,서울,좋은 편,아르바이트,있음,5
100067,1,1994,3,2,4,1,3,2.0,,2,5,3.0,2.0,1.0,2.0,True,취업 성공,1,남성,27,대졸,서울,보통,경험 없음,없음,5
100072,1,1995,2,2,4,1,2,1.0,3.0,2,2,3.0,2.0,3.0,2.0,True,미취업,0,남성,26,대졸,서울,나쁜 편,아르바이트,없음,2
100073,1,1995,2,2,4,1,3,2.0,,2,3,1.0,2.0,1.0,2.0,True,취업 성공,1,남성,26,대졸,서울,보통,경험 없음,없음,3
100076,1,2002,3,2,2,1,4,2.0,,2,2,3.0,1.0,3.0,1.0,True,미취업,0,남성,19,고졸,서울,좋은 편,경험 없음,없음,2
100077,2,1993,2,2,4,1,3,2.0,,2,4,3.0,2.0,3.0,2.0,True,미취업,0,여성,28,대졸,서울,보통,경험 없음,없음,4
100080,1,1993,2,2,4,1,3,2.0,,2,3,1.0,2.0,1.0,2.0,True,취업 성공,1,남성,28,대졸,서울,보통,경험 없음,없음,3
100088,1,2002,3,2,2,1,4,2.0,,2,5,3.0,1.0,3.0,1.0,True,미취업,0,남성,19,고졸,서울,좋은 편,경험 없음,없음,5
100095,1,1997,3,2,2,1,4,2.0,,2,3,3.0,2.0,3.0,2.0,True,미취업,0,남성,24,고졸,서울,좋은 편,경험 없음,없음,3
100097,1,1993,3,2,4,1,3,2.0,,2,4,3.0,2.0,1.0,2.0,True,취업 성공,1,남성,28,대졸,서울,보통,경험 없음,없음,4
100098,1,1994,2,2,2,1,2,2.0,,2,3,3.0,2.0,3.0,2.0,True,미취업,0,남성,27,고졸,서울,나쁜 편,경험 없음,없음,3
100099,1,1996,3,2,2,1,3,2.0,,2,3,3.0,2.0,1.0,2.0,True,취업 성공,1,남성,25,고졸,서울,보통,경험 없음,없음,3
100100,1,2002,3,2,2,1,4,2.0,,2,4,3.0,2.0,3.0,2.0,True,미취업,0,남성,19,고졸,서울,좋은 편,경험 없음,없음,4
100101,1,2002,3,2,2,1,4,2.0,,2,4,3.0,2.0,3.0,2.0,True,미취업,0,남성,19,고졸,서울,좋은 편,경험 없음,없음,4
100114,1,1995,3,2,2,1,3,2.0,,2,3,3.0,2.0,2.0,2.0,True,미취업,0,남성,26,고졸,서울,보통,경험 없음,없음,3
100117,2,1993,3,2,2,1,5,2.0,,2,5,3.0,2.0,3.0,2.0,True,미취업,0,여성,28,고졸,서울,매우 좋음,경험 없음,없음,5
100155,2,1998,3,2,3,1,5,1.0,3.0,2,5,1.0,2.0,1.0,2.0,True,취업 성공,1,여성,23,전문대졸,서울,매우 좋음,아르바이트,없음,5
100170,1,2001,3,2,2,1,4,2.0,,2,4,3.0,1.0,3.0,1.0,True,미취업,0,남성,20,고졸,서울,좋은 편,경험 없음,없음,4
100191,2,1999,2,2,3,1,4,2.0,,1,4,,,3.0,1.0,True,미취업,0,여성,22,전문대졸,서울,좋은 편,경험 없음,있음,4
100193,1,1996,3,2,4,1,4,1.0,3.0,2,4,,,,,True,미취업,0,남성,25,대졸,서울,좋은 편,아르바이트,없음,4
100194,1,1996,2,2,4,1,4,2.0,,2,5,3.0,2.0,,,True,미취업,0,남성,25,대졸,서울,좋은 편,경험 없음,없음,5
100199,2,1998,3,2,4,1,5,2.0,,2,4,3.0,2.0,3.0,2.0,True,미취업,0,여성,23,대졸,서울,매우 좋음,경험 없음,없음,4
100200,1,1996,3,2,2,1,4,1.0,3.0,2,4,3.0,2.0,1.0,2.0,True,취업 성공,1,남성,25,고졸,서울,좋은 편,아르바이트,없음,4
100213,2,2001,3,2,2,1,2,2.0,,2,4,,,,,True,미취업,0,여성,20,고졸,서울,나쁜 편,경험 없음,없음,4
100214,2,1997,3,2,4,1,5,2.0,,1,4,3.0,2.0,3.0,2.0,True,미취업,0,여성,24,대졸,서울,매우 좋음,경험 없음,있음,4
100231,2,2000,2,2,3,1,4,2.0,,1,4,1.0,2.0,1.0,2.0,True,취업 성공,1,여성,21,전문대졸,서울,좋은 편,경험 없음,있음,4
100233,2,1998,3,2,4,1,4,2.0,,2,4,2.0,2.0,1.0,2.0,True,취업 성공,1,여성,23,대졸,서울,좋은 편,경험 없음,없음,4
100236,2,1996,3,2,2,1,4,1.0,3.0,2,4,1.0,2.0,1.0,2.0,True,취업 성공,1,여성,25,고졸,서울,좋은 편,아르바이트,없음,4
100238,1,1994,3,2,5,1,4,2.0,,1,5,1.0,2.0,1.0,2.0,True,취업 성공,1,남성,27,대학원졸,서울,좋은 편,경험 없음,있음,5
100274,1,1997,2,2,4,1,2,2.0,,2,4,3.0,2.0,3.0,2.0,True,미취업,0,남성,24,대졸,서울,나쁜 편,경험 없음,없음,4
100298,2,1995,3,2,4,1,4,2.0,,2,3,3.0,2.0,3.0,2.0,True,미취업,0,여성,26,대졸,서울,좋은 편,경험 없음,없음,3
100307,2,2002,3,2,2,1,3,2.0,,2,5,,,,,True,미취업,0,여성,19,고졸,서울,보통,경험 없음,없음,5
100308,1,2002,3,2,2,1,3,2.0,,2,5,3.0,2.0,3.0,1.0,True,미취업,0,남성,19,고졸,서울,보통,경험 없음,없음,5
100309,1,2002,2,2,2,1,3,2.0,,2,5,3.0,2.0,2.0,2.0,True,미취업,0,남성,19,고졸,서울,보통,경험 없음,없음,5
100314,1,2002,2,2,2,1,4,2.0,,2,4,,,3.0,2.0,True,미취업,0,남성,19,고졸,서울,좋은 편,경험 없음,없음,4
